team,elo,form
Palau,1477.0715726868934,1.5
Kenya,1476.5591874123345,1.15
Székely Land,1476.43772271263,0.95
Hmong,1476.1028051499386,0.75
El Salvador,1475.6401387990547,0.85
Kazakhstan,1475.199951414775,1.1
Togo,1474.2313894072292,0.9
Papua New Guinea,1474.0701508118773,1.4
Dominican Republic,1473.946924395124,1.15
Kabylia,1471.2082072527037,0.75
Chechnya,1469.5507025740242,0.25
Aymara,1468.766810297684,0.75
Romani people,1467.2693202134826,1.1
Guyana,1466.390297267891,1.85
Provence,1465.8930089423325,1.3
Rwanda,1465.8308371180449,1.0
Monaco,1464.7887126408295,1.0
Nicaragua,1464.6840939491792,0.8
Sápmi,1461.919909859361,1.05
Greenland,1460.9771876870425,1.95
Equatorial Guinea,1459.127275360147,0.8500000000000001
Comoros,1458.8403547544842,0.9
Ticino,1458.7876899161909,0.75
Găgăuzia,1457.3025585357082,0.0
Kyrgyzstan,1456.147331729787,0.8
Western Isles,1454.960300328907,1.0
Martinique,1450.8827409287646,0.9
Sudan,1450.4930772865928,0.8
Tajikistan,1449.908919647096,1.65
Niger,1447.0081847492445,1.75
Fiji,1446.6332665006114,1.2
Zimbabwe,1445.5506910168683,0.6
Mauritania,1443.9995994690316,0.75
Marshall Islands,1443.8719705270407,0.75
Two Sicilies,1443.5700821392982,0.6
Vanuatu,1442.9469261010024,1.15
Luxembourg,1440.5614054358623,0.5
Mayotte,1439.6947597689093,1.65
Orkney,1438.927848364788,1.3
Sark,1438.666966453285,0.0
Lebanon,1438.4222401377472,1.85
Gotland,1437.1350058653618,0.9
Sierra Leone,1434.3665575975842,1.2999999999999998
Barawa,1429.5218030214326,0.9
Vatican City,1428.6100533118183,0.3333333333333333
Malawi,1427.9569723115078,1.15
Armenia,1427.5075145944093,0.55
Saint Barthélemy,1425.8516019599626,1.3472222222222223
Ambazonia,1425.0015342327831,0.2
Azerbaijan,1423.743528705342,0.4
Botswana,1423.0784967081831,0.65
Raetia,1416.3844611693771,0.55
French Guiana,1414.6615998994162,1.05
Estonia,1414.2421117235606,0.7
Micronesia,1412.8540663150125,0.625
Faroe Islands,1410.2133600519533,1.35
Turkmenistan,1409.6767756235245,1.2000000000000002
Wallis Islands and Futuna,1409.570265179347,0.1875
Namibia,1404.938493070627,0.8500000000000001
Darfur,1404.252535967065,0.0
Cuba,1404.1541201552131,0.8
Burundi,1400.9259483752155,0.8
Saint Pierre and Miquelon,1397.4858084190373,0.0
Ethiopia,1396.0781634031755,0.8
Saint Vincent and the Grenadines,1395.2009905170378,1.7999999999999998
Tanzania,1395.0146569392534,0.35
Puerto Rico,1394.859046796456,1.4
Saint Helena,1393.057002498978,0.0
Hitra,1392.8461506177223,1.0
Solomon Islands,1391.899031185602,0.6
Liberia,1391.1923787653477,1.1
Kiribati,1388.5108135859132,0.0
Chagos Islands,1386.7955271690364,0.4
Cyprus,1386.4001762106886,0.75
Hong Kong,1383.5508896526876,2.1
Lesotho,1383.0736861989312,0.95
Malta,1382.6188588459177,0.9
Philippines,1376.501079958569,1.75
Central African Republic,1374.2501444301258,0.4
Singapore,1373.4600466171491,1.05
Guinea-Bissau,1371.6883259237793,0.35
Saare County,1365.6276356697697,0.8500000000000001
Bermuda,1361.2843038481476,0.6499999999999999
Latvia,1359.7125529371815,0.7
Sint Maarten,1357.841022000386,1.5499999999999998
Lithuania,1354.9841458056353,0.55
Congo,1352.256708793547,0.6
Saint Kitts and Nevis,1344.118965976565,1.0
Samoa,1340.1934060552508,1.5
Belize,1335.2764175862667,1.4500000000000002
India,1334.8760995602674,0.8
Moldova,1333.624233449411,0.1
Grenada,1332.0293387789038,1.75
Tibet,1331.9234821177874,0.2
Yemen,1330.2360553918772,1.6
Eswatini,1327.17351052006,0.45
Tuvalu,1317.4633107204056,0.25
Saint Martin,1312.5283148059548,1.05
Saint Lucia,1305.9015015931805,1.1
Montserrat,1304.2709732009844,0.9
Falkland Islands,1300.546276044955,0.15
South Sudan,1297.198469248875,0.55
Chad,1279.1071671423035,0.25
Cook Islands,1274.7618059499423,0.6
Frøya,1274.5894741867833,0.4
Aruba,1267.6891112066153,0.8
Bonaire,1266.2608563333374,0.6
Afghanistan,1259.055357295758,0.55
Mauritius,1258.567358995743,0.5
Eritrea,1252.0102013509943,0.15
Myanmar,1243.7644556622845,1.15
Dominica,1242.461696223426,0.6
Alderney,1237.761823947126,0.4499999999999999
Bangladesh,1236.1449228054612,1.15
Antigua and Barbuda,1235.9658646254989,0.2
São Tomé and Príncipe,1223.5677158411966,0.2
Nepal,1216.284631760987,0.8500000000000001
Cayman Islands,1213.375334588457,1.05
Barbados,1213.024649950297,1.05
Tonga,1211.1243652633336,0.4499999999999999
Turks and Caicos Islands,1208.3449585633414,0.6499999999999999
Taiwan,1207.3576842055638,0.6
Gibraltar,1190.1295851371738,0.15
Andorra,1176.5822504337873,0.25
Cambodia,1165.7732685430926,0.8500000000000001
Northern Mariana Islands,1162.4016068004282,0.45
Maldives,1154.805149811093,0.75
British Virgin Islands,1148.2152386978776,0.75
Sri Lanka,1147.912235669528,1.65
Djibouti,1146.3877531938651,0.25
American Samoa,1142.9256733465272,0.1
Somalia,1141.1217099540347,0.35
United States Virgin Islands,1133.3505734054222,0.85
Guam,1132.212034108969,0.2
Mongolia,1130.6074504880364,0.6
Bahamas,1120.593168732377,0.4
Pakistan,1114.5524680239505,0.3
Laos,1101.492091895985,0.6
Liechtenstein,1097.25277140419,0.15
Seychelles,1091.296056022043,0.0
Brunei,1081.4269747897188,1.15
Anguilla,1069.2739489208557,0.5
Timor-Leste,1028.8972787727243,0.55
Macau,1022.3437088533328,0.1
Bhutan,1019.8932886380492,0.7
San Marino,996.6371918292097,0.15
Curacao,1480.0,1.2
Czechia,1780.0,1.8
